suite,engine,query_name,median_s,n_success
tpcds,cedardb,query_56.sql,0.112000,10
tpcds,cedardb,query_57.sql,0.095500,10
tpcds,cedardb,query_58.sql,0.100000,10
tpcds,cedardb,query_59.sql,0.082000,10
tpcds,cedardb,query_60.sql,0.118500,10
tpcds,cedardb,query_61.sql,0.069000,10
tpcds,cedardb,query_62.sql,0.071000,10
tpcds,cedardb,query_63.sql,0.126500,10
tpcds,cedardb,query_64.sql,0.090500,10
tpcds,cedardb,query_65.sql,0.091500,10
tpcds,cedardb,query_66.sql,0.162500,10
tpcds,cedardb,query_67.sql,0.086500,10
tpcds,cedardb,query_68.sql,1.093500,10
tpcds,cedardb,query_69.sql,3.548500,10
tpcds,cedardb,query_70.sql,0.359500,10
tpcds,cedardb,query_71.sql,0.407000,10
tpcds,cedardb,query_72.sql,0.346000,10
tpcds,cedardb,query_73.sql,0.210000,10
tpcds,cedardb,query_74.sql,0.081000,10
tpcds,cedardb,query_75.sql,0.105000,10
tpcds,cedardb,query_76.sql,0.576500,10
tpcds,cedardb,query_77.sql,2.294000,10
tpcds,cedardb,query_78.sql,0.139000,10
tpcds,cedardb,query_79.sql,0.081000,10
tpcds,cedardb,query_80.sql,0.064000,10
tpcds,cedardb,query_81.sql,0.109000,10
tpcds,cedardb,query_82.sql,0.082500,10
tpcds,cedardb,query_83.sql,0.135500,10
tpcds,cedardb,query_84.sql,0.166000,10
tpcds,cedardb,query_85.sql,0.092000,10
tpcds,cedardb,query_86.sql,0.086500,10
tpcds,cedardb,query_87.sql,0.994500,10
tpcds,cedardb,query_88.sql,0.090500,10
tpcds,cedardb,query_89.sql,0.138000,10
tpcds,cedardb,query_90.sql,0.196000,10
tpcds,cedardb,query_91.sql,0.079500,10
tpcds,cedardb,query_92.sql,0.067500,10
tpcds,cedardb,query_93.sql,1.102000,10
tpcds,cedardb,query_94.sql,0.237000,10
tpcds,cedardb,query_95.sql,0.091000,10
tpcds,cedardb,query_96.sql,0.107000,10
tpcds,cedardb,query_97.sql,0.099000,10
